"Time","GPU 0","GPU 0"
2025-09-12 12:00:15,,0%
2025-09-12 12:00:16,,0%
2025-09-12 12:00:17,,0%
2025-09-12 12:00:18,,0%
2025-09-12 12:00:19,,0%
2025-09-12 12:00:20,,0%
2025-09-12 12:00:21,,0%
2025-09-12 12:00:22,,0%
2025-09-12 12:00:23,,0%
2025-09-12 12:00:24,,0%
2025-09-12 12:00:25,,0%
2025-09-12 12:00:26,0%,
2025-09-12 12:00:27,0%,
2025-09-12 12:00:28,0%,
2025-09-12 12:00:29,0%,
2025-09-12 12:00:30,0%,
2025-09-12 12:00:31,0%,
2025-09-12 12:00:32,1%,
2025-09-12 12:00:33,1%,
2025-09-12 12:00:34,1%,
2025-09-12 12:00:35,1%,
2025-09-12 12:00:36,1%,
2025-09-12 12:00:37,1%,
2025-09-12 12:00:38,1%,
2025-09-12 12:00:39,1%,
2025-09-12 12:00:40,1%,
2025-09-12 12:00:41,1%,
2025-09-12 12:00:42,1%,
2025-09-12 12:00:43,0%,
2025-09-12 12:00:44,1%,
2025-09-12 12:00:45,1%,
2025-09-12 12:00:46,1%,
2025-09-12 12:00:47,0%,
2025-09-12 12:00:48,1%,
2025-09-12 12:00:49,0%,
2025-09-12 12:00:50,1%,
2025-09-12 12:00:51,1%,
2025-09-12 12:00:52,0%,
2025-09-12 12:00:53,1%,
2025-09-12 12:00:54,0%,
2025-09-12 12:00:55,0%,
2025-09-12 12:00:56,1%,
2025-09-12 12:00:57,0%,
2025-09-12 12:00:58,0%,
2025-09-12 12:00:59,1%,
2025-09-12 12:01:00,1%,
2025-09-12 12:01:01,1%,
2025-09-12 12:01:02,1%,
2025-09-12 12:01:03,0%,
2025-09-12 12:01:04,0%,
2025-09-12 12:01:05,1%,
2025-09-12 12:01:06,1%,
2025-09-12 12:01:07,1%,
2025-09-12 12:01:08,1%,
2025-09-12 12:01:09,1%,
2025-09-12 12:01:10,1%,
2025-09-12 12:01:11,0%,
2025-09-12 12:01:12,0%,
2025-09-12 12:01:13,0%,
2025-09-12 12:01:14,1%,
2025-09-12 12:01:15,1%,
2025-09-12 12:01:16,1%,
2025-09-12 12:01:17,1%,
2025-09-12 12:01:18,1%,
2025-09-12 12:01:19,1%,
2025-09-12 12:01:20,0%,
2025-09-12 12:01:21,0%,
2025-09-12 12:01:22,0%,
2025-09-12 12:01:23,1%,
2025-09-12 12:01:24,1%,
2025-09-12 12:01:25,1%,
2025-09-12 12:01:26,1%,
2025-09-12 12:01:27,0%,
2025-09-12 12:01:28,0%,
2025-09-12 12:01:29,1%,
2025-09-12 12:01:30,1%,
2025-09-12 12:01:31,1%,
2025-09-12 12:01:32,1%,
2025-09-12 12:01:33,1%,
2025-09-12 12:01:34,1%,
2025-09-12 12:01:35,1%,
2025-09-12 12:01:36,1%,
2025-09-12 12:01:37,0%,
2025-09-12 12:01:38,0%,
2025-09-12 12:01:39,0%,
2025-09-12 12:01:40,0%,
2025-09-12 12:01:41,0%,
2025-09-12 12:01:42,0%,
2025-09-12 12:01:43,0%,
2025-09-12 12:01:44,0%,
2025-09-12 12:01:45,0%,
2025-09-12 12:01:46,0%,
2025-09-12 12:01:47,0%,
2025-09-12 12:01:48,0%,
2025-09-12 12:01:49,0%,
2025-09-12 12:01:50,0%,
2025-09-12 12:01:51,0%,
2025-09-12 12:01:52,0%,
2025-09-12 12:01:53,0%,
2025-09-12 12:01:54,0%,
2025-09-12 12:01:55,0%,
2025-09-12 12:01:56,0%,
2025-09-12 12:01:57,0%,
2025-09-12 12:01:58,0%,
2025-09-12 12:01:59,0%,
2025-09-12 12:02:00,0%,
2025-09-12 12:02:01,0%,
2025-09-12 12:02:02,0%,
2025-09-12 12:02:03,0%,
2025-09-12 12:02:04,0%,
2025-09-12 12:02:05,0%,
2025-09-12 12:02:06,0%,
2025-09-12 12:02:07,0%,
2025-09-12 12:02:08,0%,
2025-09-12 12:02:09,0%,
2025-09-12 12:02:10,0%,
2025-09-12 12:02:11,0%,
2025-09-12 12:02:12,0%,
2025-09-12 12:02:13,0%,
2025-09-12 12:02:14,0%,
2025-09-12 12:02:15,0%,
2025-09-12 12:02:16,0%,
2025-09-12 12:02:17,0%,
2025-09-12 12:02:18,0%,
2025-09-12 12:02:19,0%,
2025-09-12 12:02:20,0%,
2025-09-12 12:02:21,0%,
2025-09-12 12:02:22,0%,
2025-09-12 12:02:23,0%,
2025-09-12 12:02:24,0%,
2025-09-12 12:02:25,0%,
2025-09-12 12:02:26,0%,
2025-09-12 12:02:27,0%,
2025-09-12 12:02:28,0%,
2025-09-12 12:02:29,0%,
2025-09-12 12:02:30,0%,
2025-09-12 12:02:31,0%,
2025-09-12 12:02:32,0%,
2025-09-12 12:02:33,0%,
2025-09-12 12:02:34,0%,
2025-09-12 12:02:35,0%,
